date	barCode	description	sellingPrice	landingPrice	quantity	partyName	withBox
06 Jul 2021	1001	BOYS SHIRT	410	299	5	MR	0
06 Jul 2021	1002	BOYS SHIRT	460	335	6	MR	0
06 Jul 2021	1003	BOYS SHIRT	425	311	3	MR	0
06 Jul 2021	1005	BOYS SHIRT	375	275	5	MR	0
06 Jul 2021	1006	BOYS SHIRT	395	293	3	MR	0
06 Jul 2021	1007	BOYS SHIRT	340	251	1	MR	0
06 Jul 2021	1009	BOYS SHIRT	375	275	2	MR	0
06 Jul 2021	1011	BOYS SHIRT	340	251	1	MR	0
06 Jul 2021	1013	BOYS SHIRT	375	275	3	MR	0
06 Jul 2021	1015	BOYS SHIRT	425	311	1	MR	0
06 Jul 2021	1018	TSHIRT	350	259	5	M	0
06 Jul 2021	1019	TSHIRT	330	245	10	M	0
06 Jul 2021	1020	TSHIRT	425	314	15	M	0
06 Jul 2021	1021	TSHIRT	350	248	21	M	0
06 Jul 2021	1024	TSHIRT	260	185	1	M	0
06 Jul 2021	1030	TOP	430	280	1	BG	0
06 Jul 2021	1031	TOP	575	371	4	BG	0
06 Jul 2021	1032	TOP	600	385	1	BG	0
06 Jul 2021	1037	MSP	390	259	2	s	0
06 Jul 2021	1039	MSP	415	276	3	S	0
06 Jul 2021	1040	MSP	430	285	2	S	0
06 Jul 2021	1049	MSP	450	300	3	S	0
06 Jul 2021	1050	MSP	485	390	2	S	0
06 Jul 2021	1051	MSP	585	390	3	SA	0
06 Jul 2021	1054	SHORT TOP	380	256	1	GC	0
06 Jul 2021	1059	MSP	490	326	1	SA	0
06 Jul 2021	1060	MSP	390	259	3	S	0
06 Jul 2021	1061	MSP	415	276	7	S	0
06 Jul 2021	1078	MSP	410	278	5	S	0
06 Jul 2021	1079	MSP	460	310	3	S	0
06 Jul 2021	1081	MSP	370	246	12	S	0
06 Jul 2021	1082	MSP	190	128	2	SA	0
06 Jul 2021	1083	MSP	185	122	1	SA	0
06 Jul 2021	1096	MSP	430	283	4	SA	0
06 Jul 2021	1100	MSP	410	271	1	S	0
06 Jul 2021	1101	MSP	380	252	5	S	0
06 Jul 2021	1107	MSP	240	157	5	SA	0
06 Jul 2021	1108	MSP	250	164	5	S	0
06 Jul 2021	1110	MSP	270	170	1	S	0
06 Jul 2021	1111	MSP	400	265	22	S	0
06 Jul 2021	1112	MSP	430	282	27	S	0
06 Jul 2021	1113	MSP	450	298	3	S	0
06 Jul 2021	1114	MSP	450	298	5	SA	0
06 Jul 2021	1118	MSP	180	122	3	SA	0
06 Jul 2021	1122	MSP	390	259	6	S	0
06 Jul 2021	1123	MSP	410	267	11	S	0
06 Jul 2021	1124	PANT	840	561	1	N	0
06 Jul 2021	1125	PANT	830	550	1	N	0
06 Jul 2021	1127	WESTERN	1430	946	1	MH	1
06 Jul 2021	1128	SHORTS	340	241	6	CH	0
06 Jul 2021	1129	SHORTS	360	255	2	BG	0
06 Jul 2021	1130	SHORTS	390	277	15	CH	0
06 Jul 2021	1131	BOYS PANT	590	390	1	N	0
06 Jul 2021	1132	BOYS PANT	460	309	1	N	0
06 Jul 2021	1134	TOP	400	267	2	BG	0
06 Jul 2021	1135	TOP	460	306	1	BG	0
06 Jul 2021	1136	TOP	470	312	1	BG	0
06 Jul 2021	1139	TOP	510	338	2	BG	0
06 Jul 2021	1143	NIGHTY	350	216	1	CH	0
06 Jul 2021	1144	NIGHTY	460	228	2	CH	0
06 Jul 2021	1145	NIGHTY	345	216	1	CH	0
06 Jul 2021	1155	NIGHTY	850	576	3	CH	0
06 Jul 2021	1156	SHRUG	400	240	6	CH	0
06 Jul 2021	1159	BOYS SHIRT	470	294	2	MR	0
06 Jul 2021	1160	BOYS SHIRT	500	312	3	MR	0
06 Jul 2021	1166	NIGHT PANT	410	252	5	CH	0
06 Jul 2021	1167	NIGHT PANT	430	264	2	CH	0
06 Jul 2021	1169	JEGGINGS PANT	350	216	3	CH	0
06 Jul 2021	1170	JEGGINGS PANT	370	228	1	CH	0
06 Jul 2021	1171	SHRUG	310	189	3	CH	0
06 Jul 2021	1180	CROP TOP	3000	1974	1	PT	0
06 Jul 2021	1200	JEGGINGS PANT	350	222	2	PR	0
06 Jul 2021	1201	JEGGINGS PANT	350	222	1	PR	0
06 Jul 2021	1202	JEGGINGS PANT	350	222	1	PR	0
06 Jul 2021	1208	GIFT BOX	250	136	3	B	0
06 Jul 2021	1211	WESTERN	960	622	1	MH	1
06 Jul 2021	1224	WESTERN	940	606	1	MH	1
06 Jul 2021	1231	WESTERN	1150	735	1	M	1
06 Jul 2021	1233	WESTERN	1450	938	2	M	1
06 Jul 2021	1236	WESTERN	1450	938	1	MH	1
06 Jul 2021	1240	WESTERN	1100	711	1	MH	1
06 Jul 2021	1247	WESTERN	930	600	1	MH	1
06 Jul 2021	1250	WESTERN	1050	660	1	MH	1
06 Jul 2021	1259	WESTERN	700	450	1	MH	1
06 Jul 2021	1260	WESTERN	750	472	1	MH	1
06 Jul 2021	1271	TOP	480	282	1	BG	0
06 Jul 2021	1276	T-SHIRT	340	204	10	CH	0
06 Jul 2021	1282	WOOLLEN	240	92	6	CH	0
06 Jul 2021	1284	LEGGINGS KIDS	110	34	2	CH	0
06 Jul 2021	1285	KIDS SET	190	100	6	CH	0
06 Jul 2021	1289	DHOTI PANT	200	120	5	CH	0
06 Jul 2021	1292	TOP	410	240	1	BG	0
06 Jul 2021	1295	WOOLLEN	330	192	6	CH	0
06 Jul 2021	1299	WOOLLEN	470	276	2	CH	0
06 Jul 2021	1314	WOOLLEN	430	252	3	CH	0
06 Jul 2021	1316	TSHIRT	280	174	8	CH	0
06 Jul 2021	1317	T-SHIRT	450	282	3	CH	0
06 Jul 2021	1318	TSHIRT	330	204	16	CH	0
06 Jul 2021	1330	WOOLLEN	1000	585	11	M	0
06 Jul 2021	1331	WOOLLEN	560	330	4	M	0
06 Jul 2021	1332	WOOLLEN	630	372	4	M	0
06 Jul 2021	1333	WOOLLEN	590	348	2	M	0
06 Jul 2021	1334	WOOLLEN	480	282	12	M	0
06 Jul 2021	1335	WOOLLEN	500	294	4	M	0
06 Jul 2021	1336	WOOLLEN	500	294	1	M	0
06 Jul 2021	1337	WOOLLEN	520	306	8	M	0
06 Jul 2021	1338	WOOLLEN	980	576	2	M	0
06 Jul 2021	1342	GIRLS WEAR	310	180	1	CH	0
06 Jul 2021	1348	KIDS WEAR	380	226	2	M	0
06 Jul 2021	1352	WESTERN	820	480	2	MH	1
06 Jul 2021	1353	WESTERN	1060	662	2	MH	1
06 Jul 2021	1354	WESTERN	1060	662	2	MH	1
06 Jul 2021	1355	WESTERN	970	570	1	MH	1
06 Jul 2021	1360	BOYS SHIRT	550	322	3	M	0
06 Jul 2021	1361	BOYS SHIRT	580	330	1	MH	0
06 Jul 2021	1362	KIDS SHIRT	430	255	5	M	0
06 Jul 2021	1365	BOYS SHIRT	430	255	2	M	0
06 Jul 2021	1366	BOYS SHIRT	430	248	7	M	0
06 Jul 2021	1367	CAP	190	112	2	BG	0
06 Jul 2021	1371	MUFFLER	200	120	1	M	0
06 Jul 2021	1372	MUFFLER	200	120	4	M	0
06 Jul 2021	1374	KIDS WEAR	440	258	1	M	0
06 Jul 2021	1381	WESTERN	1180	692	4	MH	1
06 Jul 2021	1384	JEANS COAT	650	415	1	M	0
06 Jul 2021	1385	SHORT TOP	680	400	4	M	0
06 Jul 2021	1386	SHORT TOP	450	264	3	M	0
06 Jul 2021	1388	SHORT TOP	590	348	3	M	0
06 Jul 2021	1389	SHORT-TOP	450	264	9	M	0
06 Jul 2021	1395	LADIES NIGHT PANT	270	160	1	CH	0
06 Jul 2021	1397	LEHANGA	4230	2486	3	BG	0
06 Jul 2021	1399	LEHANGA	3340	1986	1	BG	0
06 Jul 2021	1400	LEHANGA	3160	1860	2	BG	0
06 Jul 2021	1401	LEHANGA	1470	864	2	BG	0
06 Jul 2021	1402	LEHANGA	5100	2996	2	BG	0
06 Jul 2021	1404	MIDDY	670	394	16	B	0
06 Jul 2021	1406	MIDDY	920	540	16	B	0
06 Jul 2021	1407	MIDDY	1490	878	1	BG	0
06 Jul 2021	1409	CHUDI	1490	878	2	BG	0
